dataset	analysis_context	signature	display_name	order_index	gene	definition_type
GSE154778	Broad single-cell localization	Myeloid	Myeloid	5	C1QB	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Myeloid	Myeloid	6	CSF1R	Reconstructed from listed genes
GSE154778	Broad single-cell localization	Myeloid	Myeloid	7	AIF1	Reconstructed from listed genes
GSE154778	Broad single-cell localization	T_NK	T/NK	1	CD3D	Reconstructed from listed genes
GSE154778	Broad single-cell localization	T_NK	T/NK	2	CD3E	Reconstructed from listed genes
GSE154778	Broad single-cell localization	T_NK	T/NK	3	TRAC	Reconstructed from listed genes
GSE154778	Broad single-cell localization	T_NK	T/NK	4	CD8A	Reconstructed from listed genes
GSE154778	Broad single-cell localization	T_NK	T/NK	5	NKG7	Reconstructed from listed genes
GSE154778	Broad single-cell localization	T_NK	T/NK	6	GNLY	Reconstructed from listed genes
GSE154778	Broad single-cell localization	T_NK	T/NK	7	PRF1	Reconstructed from listed genes
GSE154778	Broad single-cell localization	candidate_ecm	Frozen six-gene candidate ECM program	1	POSTN	Reconstructed from listed genes
GSE154778	Broad single-cell localization	candidate_ecm	Frozen six-gene candidate ECM program	2	MXRA5	Reconstructed from listed genes
GSE154778	Broad single-cell localization	candidate_ecm	Frozen six-gene candidate ECM program	3	PXDN	Reconstructed from listed genes
GSE154778	Broad single-cell localization	candidate_ecm	Frozen six-gene candidate ECM program	4	MFAP4	Reconstructed from listed genes
GSE154778	Broad single-cell localization	candidate_ecm	Frozen six-gene candidate ECM program	5	LTBP2	Reconstructed from listed genes
GSE154778	Broad single-cell localization	candidate_ecm	Frozen six-gene candidate ECM program	6	TNC	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	CAF_stroma	CAF/stroma	1	COL1A1	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	CAF_stroma	CAF/stroma	2	COL1A2	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	CAF_stroma	CAF/stroma	3	COL3A1	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	CAF_stroma	CAF/stroma	4	DCN	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	CAF_stroma	CAF/stroma	5	LUM	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	CAF_stroma	CAF/stroma	6	FAP	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	CAF_stroma	CAF/stroma	7	ACTA2	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	CAF_stroma	CAF/stroma	8	PDGFRB	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	candidate_ecm	Frozen six-gene candidate ECM program	1	POSTN	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	candidate_ecm	Frozen six-gene candidate ECM program	2	MXRA5	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	candidate_ecm	Frozen six-gene candidate ECM program	3	PXDN	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	candidate_ecm	Frozen six-gene candidate ECM program	4	MFAP4	Reconstructed from listed genes
GSE199102	GeoMx compartment analysis	candidate_ecm	Frozen six-gene candidate ECM program	5	LTBP2	Reconstructed from listed genes
